Sign,segment,url,FingerSelection,Aperture,Curve,Bent,Width,Facing,Focus,Dynamic Orientation,Location,Plane,Settings,Path,Paddle,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,H2 Dynamic Orientation,H2 Location,H2 Plane,H2 Settings,H2 Path,H2 Paddle,manner_tense,manner_repeated,manner_laceration,manner_symmetrical,manner_alternating,manner_biderectional,file,labeled_url,iconic,Anna_Klezovich_comments
исправлять,2,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5490--исправлять--исправлять.mp4?raw=true,"[1-st,2-nd]",closed,straight,bent,pointed,palm,tips,,space,parallel,"proxi-distal,x-y",straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,исправлять--исправлять,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5490--исправлять--исправлять.mp4?raw=true' target='_blank'>исправлять</a>,non iconic,"это не ""исправлять"", а ""учить"""
обрезать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5655--обрезать--обрезать.mp4?raw=true,"[1-st,2-nd]",,straight,straight,wide-pointed,ulnar,tips,,virtual_object,horisontal,ipsi-contra,iconic,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,обрезать--обрезать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5655--обрезать--обрезать.mp4?raw=true' target='_blank'>обрезать</a>,iconic,
обрезать,2,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5655--обрезать--обрезать.mp4?raw=true,"[1-st,2-nd]",,straight,straight,wide-pointed,ulnar,tips,,space,horisontal,ipsi-contra,iconic,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,обрезать--обрезать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5655--обрезать--обрезать.mp4?raw=true' target='_blank'>обрезать</a>,iconic,
танцевать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5808--танцевать--танцевать.mp4?raw=true,"[1-st,2-nd]",,straight,straight,wide,root,,supine-prone,space,horisontal,,,,"[1-st,2-nd]",,straight,straight,wide,root,,supine-prone,space,horisontal,,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,танцевать--танцевать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5808--танцевать--танцевать.mp4?raw=true' target='_blank'>танцевать</a>,iconic,
лишать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6036--лишать--лишать.mp4?raw=true,"[1-st,2-nd]",,straight,straight,pointed,ulnar,palm,,hand-narrow,sagittal,distal-proxi,arc,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,лишать--лишать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6036--лишать--лишать.mp4?raw=true' target='_blank'>лишать</a>,non iconic,
спускаться,1,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6045--спускаться, снисходить--спускаться, снисходить.mp4?raw=true","[1-st,2-nd]",,curved,straight-bent,wide,tips,tips,,space,horisontal,"high-low,ipsi-contra",straight,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"спускаться, снисходить--спускаться, снисходить","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6045--спускаться, снисходить--спускаться, снисходить.mp4?raw=true' target='_blank'>спускаться</a>",iconic,
нырять,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6335--нырять--нырять.mp4?raw=true,"[1-st,2-nd]",,straight,bent-straight,wide,root,root,,space,horisontal,"high-low,contra-ipsi",iconic,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,нырять--нырять,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6335--нырять--нырять.mp4?raw=true' target='_blank'>нырять</a>,iconic,
наставлять,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6643--наставлять--наставлять.mp4?raw=true,"[1-st,2-nd]",closed,straight,bent,pointed,root,tips,,hand-back,horisontal,proxi-distal,straight,,,,,,,palm,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,наставлять--наставлять,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6643--наставлять--наставлять.mp4?raw=true' target='_blank'>наставлять</a>,non iconic,
редактировать,1,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6644--редактировать--редактировать.mp4?raw=true,"[1-st,2-nd]",closed,straight,bent,pointed,root,ulnar,,hand-narrow,parallel,"contra-ipsi,contra-ipsi",straight,,,,,,,palm,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,редактировать--редактировать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6644--редактировать--редактировать.mp4?raw=true' target='_blank'>редактировать</a>,non iconic,
редактировать,2,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6644--редактировать--редактировать.mp4?raw=true,"[1-st,2-nd]",closed,straight,bent,pointed,root,tips,,space,horisontal,"contra-ipsi,contra-ipsi",straight,,,,,,,palm,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,редактировать--редактировать,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6644--редактировать--редактировать.mp4?raw=true' target='_blank'>редактировать</a>,non iconic,
