Settings,url
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3286--арестовывать--арестовывать.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3337--вознестись--вознестись.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3346--спрашивать--спрашивать.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3361--собирать--собирать.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3371--поручать--поручать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3384--полагать--полагать.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3432--прикладывать--прикладывать.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3434--нападать--нападать.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3437--посещать--посещать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3446--привлекать--привлекать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3504--быть пригодным--быть пригодным.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3510--мстить--мстить.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3518--избегать--избегать.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3520--ожидать--ожидать.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3521--просыпаться--просыпаться.mp4?raw=true
proxi-distal,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3611--печь, выпекать--печь, выпекать.mp4?raw=true"
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3645--запрещать--запрещать.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3661--крестить--крестить.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3754--разрешить--разрешить.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3756--называть--.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3773--терпеть--.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3814--клянчить--.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3815--начинать--.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3835--принадлежать--.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3841--пристегиваться--.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3857--спорить--.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3862--предавать--.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3887--ездить на велосипеде--ездить на велосипеде.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3950--кусать--кусать.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3973--винить--винить.mp4?raw=true
low-high,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3980--гореть, пылать--гореть, пылать.mp4?raw=true"
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3987--смешивать--смешивать.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3997--мигать--мигать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3999--блокировка--блокировка.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4025--взрывать--взрывать.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4026--задувать--задувать.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4041--покраснеть--покраснеть.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4075--бомбить--бомбить.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4148--отскакивать--отскакивать.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4150--ограничивать--ограничивать.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4158--кланяться--кланяться.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4161--поклониться--поклониться.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4177--хвастаться--хвастаться.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4212--расстаться--расстаться.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4223--дышать--дышать.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4247--приносить--приносить.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4256--жарить на огне--жарить на огне.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4300--строить--строить.mp4?raw=true
proxi-distal,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4327--запугивать, издеваться--запугивать, издеваться.mp4?raw=true"
low-high,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4350--жечь, гореть--жечь, гореть.mp4?raw=true"
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4356--разрыдаться--разрыдаться.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4357--хоронить--хоронить.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4394--покупать--покупать.mp4?raw=true
distal-proxi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4433--требовать--требовать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4475--не мочь--не мочь.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4488--не мочь--.mp4?raw=true
iconic,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4504--капитулировать--капитулировать.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4507--опрокидывать--опрокидывать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4545--заботиться о--заботиться о.mp4?raw=true
distal-proxi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4554--ласкать--ласкать.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4575--нести--.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4594--швырять--швырять.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4712--менять--менять.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4716--распевать--распевать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4734--преследовать--преследовать.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4737--болтать--болтать.mp4?raw=true
x-y,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4743--обманывать--обманывать.mp4?raw=true
distal-proxi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4847--выбирать--выбирать.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4924--чистить--чистить.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//4929--очищать--очищать.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/4948--карабкаться--карабкаться.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5056--совпадать--.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5071--рухнуть--рухнуть.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5118--приходить--приходить.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5119--придти к соглашению--придти к соглашению.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5134--начинать--начинать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5144--совершать--.mp4?raw=true
distal-proxi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5150--общаться--.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5175--сопоставлять--сопоставлять.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5224--понимать--понимать.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5256--постигать--постигать.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5257--концентрироваться--концентрироваться.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5265--беспокоиться--беспокоиться.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5277--осуждать--осуждать.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5308--подтверждать--подтверждать.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5317--поздравлять--поздравлять.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5328--соединять--соединять.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5331--захватывать--захватывать.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5335--освящать--освящать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5343--сберегать--сберегать.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5359--устанавливать--устанавливать.mp4?raw=true
high-low,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5362--сдерживать--сдерживать.mp4?raw=true
low-high,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5365--строить--строить.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5373--консультирование--консультирование.mp4?raw=true
far-near,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5376--потреблять--потреблять.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5407--сократить--сократить.mp4?raw=true
proxi-distal,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5415--вкладывать--вкладывать.mp4?raw=true
contra-ipsi,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5417--контролировать--контролировать.mp4?raw=true
ipsi-contra,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5421--собираться--собираться.mp4?raw=true
near-far,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5428--разговаривать--разговаривать.mp4?raw=true
NA,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5431--конвертировать--конвертировать.mp4?raw=true
